Membership No  Date Joined  Active  
    58542      2019-10-25   yes   
    89226      2020-11-23   yes   
    45106      2020-3-5     yes   
    64943      2018-8-3     no    
    18979      2015-3-1     yes   
    58896      2017-9-9     yes   
    31764      2017-12-7    yes   
    78167      2016-11-11   yes   
    51387      2018-12-23   yes   
    83640      2018-11-17   no    
    67587      2020-1-9     yes   
    63076      2018-12-13   yes   
    14763      2020-1-5     no    
    87691      2017-11-16   yes   
    74288      2016-11-25   no    
    44858      2019-4-24    yes   
    12165      2017-7-21    yes   
    12395      2015-12-20   yes   
    14141      2015-2-23    yes   
    33016      2015-9-9     no    
