Membership No  Date Joined  Active  
    56753      2016-1-23    no    
    80534      2020-9-10    no    
    24811      2016-2-2     no    
    56730      2016-2-6     no    
    75761      2020-10-13   no    
    71155      2019-5-18    no    
    33190      2017-12-25   no    
    79746      2020-3-19    no    
    41392      2019-10-10   no    
    43121      2018-3-24    no    
    73042      2016-1-8     no    
    97830      2018-6-4     no    
    14033      2020-1-2     no    
    50939      2018-2-3     no    
    73042      2016-1-8     no    
    97830      2018-6-4     no    
    14033      2020-1-2     no    
    50939      2018-2-3     no    
    14033      2020-1-2     no    
    50939      2018-2-3     no    
