Membership No  Date Joined  Active  
    59093      2018-4-10    yes   
    22662      2020-9-14    yes   
    31493      2018-6-7     yes   
    12917      2018-7-4     yes   
    41108      2016-9-16    yes   
    99233      2016-6-9     yes   
    76559      2020-8-23    yes   
    93177      2015-7-8     yes   
    41901      2018-7-22    yes   
    31493      2018-6-7     yes   
    12917      2018-7-4     yes   
    41108      2016-9-16    yes   
    99233      2016-6-9     yes   
    76559      2020-8-23    yes   
    93177      2015-7-8     yes   
    41901      2018-7-22    yes   
    93177      2015-7-8     yes   
    41901      2018-7-22    yes   
